county,"RIFLE,7.62 MILLIMETER","RIFLE,5.56 MILLIMETER","TRUCK,CARGO","PISTOL,CALIBER .45,AUTOMATIC","REVOLVER,CALIBER .38 SPECIAL","ROBOT,EXPLOSIVE ORDNANCE DISPOSAL",TOOL KIT,"ILLUMINATOR,INFRARED",PLATOON EARLY WARNI,"SPECTACLES SET,BALL","CAMOUFLAGE NET SYSTEM,RADAR SCATTERING","HOLSTER,PISTOL",BINOCULAR,OPTICAL SIGHTING AND RANGING EQUIPMENT,"SPECTACLE KIT,INTER","SAFETY GLASSES,REVI","GOGGLES,INDUSTRIAL","IMAGE INTENSIFIER,NIGHT VISION",None,"BOOTS,COMBAT",NIGHT VISION GOGGLE,CASE SHIPPING,"GAITER,NECK","GENERATOR SET,DIESE",FIBERSCOPE,PROJECTION SCREEN,INSECT NET PROTECTO,"SHELTER HALF,TENT","LINER,WET WEATHER P","BAG,FLYER'S HELMET","GLOVES,FLYERS'","COVERALLS,COMBAT VE","JACKET,COLD WEATHER","VEST,TACTICAL LOAD","UNDERSHIRT,COLD WEA","SHIRT,COLD WEATHER","OVERALLS,COLD WEATH","ELBOW,PAD","ELBOW,PADS","GLOVES,MEN'S AND WO",PULLOVER FLEECE  POLARTEC  CO,"CASE,SMALL ARMS AMM",BAG DUFFEL,"BAG,CLOTHING",FIELD PACK,"MAT,SLEEPING","CANTEEN,WATER","MAT,SLEEPING,SELF-I",SLEEPING BAG,BIVY COVER,"POUCH,RADIO",LID,MEDIC BAG,EXTERNAL MEDICAL MO,RIFLEMAN SET,"MAGAZINE,CARTRIDGE","LAUNCHER,GRENADE","CAMOUFLAGE SCREENING SYSTEM,SNOW LIGHT WEIGHT RADAR SCATTERING",CAMOUFLAGE SCREENING SYSTEM,"LINER,COLD WEATHER","HOOD,COLD WEATHER","GOGGLES,SUN,WIND AN","BARREL,CARBINE","TRUCK,UTILITY",LIGHT ARMORED VEHICLE,MINE RESISTANT VEHICLE,"pct_RIFLE,7.62_of_total","pct_RIFLE,5.56_of_total","pct_TRUCK,CARGO_of_total"
LANCASTER,0,0.02160941456067600097694002287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4898133967086560221439738518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0E+2,7.419232332498760335416074520,0.0,0.0,0.00
MADISON,0.004970165348955480224696205261,0.07188731910518216324995380943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01296564873640560058616401372,0,0,0,0,0,0,0,0,0,0.0,0.1,0.00
MCPHERSON,0,0.008985914888147770406244226178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
NANCE,0.004970165348955480224696205261,0.01114685634421537050393822847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
NEMAHA,0.002485082674477740112348102630,0.01797182977629554081248845236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
NUCKOLLS,0,0.01797182977629554081248845236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
POLK,0.009940330697910960449392410522,0.01797182977629554081248845236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
RED WILLOW,0.009940330697910960449392410522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
SARPY,0,0.01296564873640560058616401372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8476112782970489083196582805,0,0,0.0,0.0,0.00
SAUNDERS,0,0.008985914888147770406244226178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
THURSTON,0,0.03594365955259108162497690471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
WHEELER,0,0.002160941456067600097694002287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
YORK,0,0.03127962757657851141412068311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.00
